# Excitonic eigen energies and oscillator strengths
#
# Momentum transfer Q=G+q in lattice cooridnates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian cooridnates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
# Energy scale  27.2113839
# E_shift : -0.1529638416064815E+02
#
#    Nr.                       E               E+E_shift             |Osc. Str.|      Re(Osc. Str. Res.)      Im(Osc. Str. Res.)
     151     21.9040828070436646      6.6076986463955194  0.2262660966931121E-03  0.2262660966931121E-03  0.0000000000000000E+00
     152     21.9537812839735231      6.6573971233253761  0.3666358834213448E-04  0.3666358834213448E-04  0.0000000000000000E+00
     153     22.0358668533689475      6.7394826927208022  0.3191845269866224E-03  0.3191845269866224E-03  0.0000000000000000E+00
     154     22.0706144676064646      6.7742303069583185  0.5027559453871873E-03  0.5027559453871873E-03  0.0000000000000000E+00
     155     22.1223031303597395      6.8259189697115925  0.5239317089277286E-03  0.5239317089277286E-03  0.0000000000000000E+00
     156     22.1544318744375488      6.8580477137894009  0.1301942047131140E-03  0.1301942047131140E-03  0.0000000000000000E+00
     157     22.2063179663521737      6.9099338057040258  0.3250743081183201E-04  0.3250743081183201E-04  0.0000000000000000E+00
     158     22.2290225743964669      6.9326384137483190  0.1500857710152908E-03  0.1500857710152908E-03  0.0000000000000000E+00
     159     22.2491944477147392      6.9528102870665913  0.1627873635664390E-03  0.1627873635664390E-03  0.0000000000000000E+00
     160     22.2931323818725708      6.9967482212244247  0.6319125265837923E-04  0.6319125265837923E-04  0.0000000000000000E+00
     161     22.3295663274788581      7.0331821668307111  0.5310778914892708E-03  0.5310778914892708E-03  0.0000000000000000E+00
     162     22.3598904897017725      7.0635063290536255  0.1956334024477374E-03  0.1956334024477374E-03  0.0000000000000000E+00
     163     22.4197965770295333      7.1234124163813872  0.2664877086256671E-02  0.2664877086256671E-02  0.0000000000000000E+00
     164     22.4644046360289629      7.1680204753808177  0.1901646024352670E-02  0.1901646024352670E-02  0.0000000000000000E+00
     165     22.5097899218561004      7.2134057612079525  0.3957649607526352E-03  0.3957649607526352E-03  0.0000000000000000E+00
     166     22.5248349861524275      7.2284508255042823  0.1693785570053756E-03  0.1693785570053756E-03  0.0000000000000000E+00
     167     22.5686130332775505      7.2722288726294062  0.3179773870994230E-03  0.3179773870994230E-03  0.0000000000000000E+00
     168     22.5907876964768164      7.2944035358286712  0.1911772379876096E-03  0.1911772379876096E-03  0.0000000000000000E+00
     169     22.6264788983150282      7.3300947376668821  0.5737616941758794E-03  0.5737616941758794E-03  0.0000000000000000E+00
     170     22.6446689818700833      7.3482848212219380  0.3057112550906039E-03  0.3057112550906039E-03  0.0000000000000000E+00
     171     22.6861852759005984      7.3898011152524514  0.1804673820569011E-03  0.1804673820569011E-03  0.0000000000000000E+00
     172     22.7279669576231313      7.4315827969749852  0.9917855385378398E-04  0.9917855385378398E-04  0.0000000000000000E+00
     173     22.7345193735873714      7.4381352129392244  0.1177379210323307E-03  0.1177379210323307E-03  0.0000000000000000E+00
     174     22.7691205532956573      7.4727363926475112  0.7498553069644010E-04  0.7498553069644010E-04  0.0000000000000000E+00
     175     22.7880056174869665      7.4916214568388195  0.8140501896932297E-03  0.8140501896932297E-03  0.0000000000000000E+00
     176     22.8013856285955399      7.5050014679473929  0.2311992652801304E-03  0.2311992652801304E-03  0.0000000000000000E+00
     177     22.8279756983173172      7.5315915376691720  0.3285803269458416E-03  0.3285803269458416E-03  0.0000000000000000E+00
     178     22.8360598369092251      7.5396756762610790  0.6933287502495524E-04  0.6933287502495524E-04  0.0000000000000000E+00
     179     22.8567911988345074      7.5604070381863622  0.4381364952069517E-04  0.4381364952069517E-04  0.0000000000000000E+00
     180     22.8702355004739317      7.5738513398257874  0.2665403372221471E-04  0.2665403372221471E-04  0.0000000000000000E+00
     181     22.8980352046133575      7.6016510439652123  0.1107693462803265E-03  0.1107693462803265E-03  0.0000000000000000E+00
     182     22.9096038774352309      7.6132197167870848  0.2975504019246379E-03  0.2975504019246379E-03  0.0000000000000000E+00
     183     22.9262819221461740      7.6298977614980261  0.1098701751192374E-02  0.1098701751192374E-02  0.0000000000000000E+00
     184     22.9398367714842415      7.6434526108360972  0.4083472621800546E-03  0.4083472621800546E-03  0.0000000000000000E+00
     185     22.9847214901154970      7.6883373294673509  0.2896364550580895E-03  0.2896364550580895E-03  0.0000000000000000E+00
     186     23.0047773849546076      7.7083932243064606  0.2038004446624222E-04  0.2038004446624222E-04  0.0000000000000000E+00
     187     23.0135946580706197      7.7172104974224736  0.1911892949416582E-03  0.1911892949416582E-03  0.0000000000000000E+00
     188     23.0210513001396464      7.7246671394915012  0.2060784287033826E-03  0.2060784287033826E-03  0.0000000000000000E+00
     189     23.0454031420831456      7.7490189814349995  0.1637726273557882E-03  0.1637726273557882E-03  0.0000000000000000E+00
     190     23.0765374507930794      7.7801532901449342  0.5405172191568487E-03  0.5405172191568487E-03  0.0000000000000000E+00
     191     23.0956874239335193      7.7993032632853732  0.4602582981644121E-03  0.4602582981644121E-03  0.0000000000000000E+00
     192     23.1183402176677113      7.8219560570195661  0.1880617405212208E-03  0.1880617405212208E-03  0.0000000000000000E+00
     193     23.1264468466895572      7.8300626860414120  0.8732866984012094E-04  0.8732866984012094E-04  0.0000000000000000E+00
     194     23.1437000848145615      7.8473159241664137  0.1275043956206555E-03  0.1275043956206555E-03  0.0000000000000000E+00
     195     23.1547164962886818      7.8583323356405348  0.1753377097909745E-03  0.1753377097909745E-03  0.0000000000000000E+00
     196     23.1717601678398992      7.8753760071917522  0.1020693021609329E-03  0.1020693021609329E-03  0.0000000000000000E+00
     197     23.1948093243247406      7.8984251636765936  0.8550956818453271E-04  0.8550956818453271E-04  0.0000000000000000E+00
     198     23.2681188670259367      7.9717347063777915  0.1311999057269213E-03  0.1311999057269213E-03  0.0000000000000000E+00
     199     23.3043124263353008      8.0079282656871555  0.1303082789819805E-04  0.1303082789819805E-04  0.0000000000000000E+00
     200     23.3149504827349716      8.0185663220868246  0.1606746493881957E-03  0.1606746493881957E-03  0.0000000000000000E+00
     201     23.3334638130166425      8.0370796523684955  0.2542906086207141E-03  0.2542906086207141E-03  0.0000000000000000E+00
     202     23.3406364133438231      8.0442522526956779  0.9183314545665613E-04  0.9183314545665613E-04  0.0000000000000000E+00
     203     23.3933793880625380      8.0969952274143910  0.1643248096680589E-03  0.1643248096680589E-03  0.0000000000000000E+00
     204     23.4120252311641757      8.1156410705160287  0.8952469122440490E-04  0.8952469122440490E-04  0.0000000000000000E+00
     205     23.4346605267864661      8.1382763661383208  0.6425857810607026E-04  0.6425857810607026E-04  0.0000000000000000E+00
     206     23.4583101853642333      8.1619260247160863  0.1149369479149701E-03  0.1149369479149701E-03  0.0000000000000000E+00
     207     23.4696593224709176      8.1732751618227724  0.7475299126388500E-04  0.7475299126388500E-04  0.0000000000000000E+00
     208     23.4977666844224480      8.2013825237743028  0.1326716036695498E-03  0.1326716036695498E-03  0.0000000000000000E+00
     209     23.5163320068334265      8.2199478461852795  0.6563058830507177E-04  0.6563058830507177E-04  0.0000000000000000E+00
     210     23.5269048225038340      8.2305206618556870  0.1253215245102418E-03  0.1253215245102418E-03  0.0000000000000000E+00
     211     23.5351501885735424      8.2387660279253971  0.3720706504072956E-03  0.3720706504072956E-03  0.0000000000000000E+00
     212     23.5611830823608912      8.2647989217127424  0.1418351197559107E-03  0.1418351197559107E-03  0.0000000000000000E+00
     213     23.5724421209688728      8.2760579603207258  0.3219389746443970E-03  0.3219389746443970E-03  0.0000000000000000E+00
     214     23.5879410880878844      8.2915569274397374  0.2287374595561975E-04  0.2287374595561975E-04  0.0000000000000000E+00
     215     23.6461223223815900      8.3497381617334430  0.3658219679888589E-03  0.3658219679888589E-03  0.0000000000000000E+00
     216     23.6501378079036684      8.3537536472555214  0.2477553877061350E-03  0.2477553877061350E-03  0.0000000000000000E+00
     217     23.6683365860932362      8.3719524254450892  0.6318465402441055E-04  0.6318465402441055E-04  0.0000000000000000E+00
     218     23.6894685459633543      8.3930843853152073  0.1500381569720628E-03  0.1500381569720628E-03  0.0000000000000000E+00
     219     23.7054857931110270      8.4091016324628800  0.1196585545794777E-03  0.1196585545794777E-03  0.0000000000000000E+00
     220     23.7224100706558545      8.4260259100077093  0.1770413461485020E-03  0.1770413461485020E-03  0.0000000000000000E+00
     221     23.7385823554853950      8.4421981948372498  0.1508358671676402E-04  0.1508358671676402E-04  0.0000000000000000E+00
     222     23.7649610434614971      8.4685768828133501  0.6458232529525375E-04  0.6458232529525375E-04  0.0000000000000000E+00
