# Loss function L(Q,w) and dynamical structure factor S(Q,w)
#
# L(Q,w)= -Im(1/eps_m(Q,w) [1]
# S(Q,w)= L(Q,w)*|Q|^2*/(4 pi^2 n_val) [Energy^-1]
#
# Momentum transfer Q=G+q in lattice coordinates
# G:   0   0   0
# q:   0.0000000   0.0000000   0.0000000
# Momentum transfer Q=G+q in Cartesian coordinates
# G:   0.0000000   0.0000000   0.0000000
# q:   0.0000000   0.0000000   0.0000000
# Norm2(G+q)   0.0000000
#
#   Frequency/(eV/hbar)                  L(Q,w)             S(Q,w)*1000
+0.1290953402624833E+02 +0.1926141062222267E+00 +0.0000000000000000E+00
+0.1292540733350000E+02 +0.2034365222252874E+00 +0.0000000000000000E+00
+0.1294128064075167E+02 +0.2153159588151919E+00 +0.0000000000000000E+00
+0.1295715394800333E+02 +0.2283681042909353E+00 +0.0000000000000000E+00
+0.1297302725525500E+02 +0.2427219340840654E+00 +0.0000000000000000E+00
+0.1298890056250667E+02 +0.2585208067871151E+00 +0.0000000000000000E+00
+0.1300477386975833E+02 +0.2759231058206102E+00 +0.0000000000000000E+00
+0.1302064717701000E+02 +0.2951021530794710E+00 +0.0000000000000000E+00
+0.1303652048426167E+02 +0.3162449791248002E+00 +0.0000000000000000E+00
+0.1305239379151333E+02 +0.3395493420344796E+00 +0.0000000000000000E+00
+0.1306826709876500E+02 +0.3652181353542499E+00 +0.0000000000000000E+00
+0.1308414040601667E+02 +0.3934500134785186E+00 +0.0000000000000000E+00
+0.1310001371326833E+02 +0.4244247082458584E+00 +0.0000000000000000E+00
+0.1311588702052000E+02 +0.4582811717259215E+00 +0.0000000000000000E+00
+0.1313176032777167E+02 +0.4950864885324355E+00 +0.0000000000000000E+00
+0.1314763363502333E+02 +0.5347937059435846E+00 +0.0000000000000000E+00
+0.1316350694227500E+02 +0.5771877428512570E+00 +0.0000000000000000E+00
+0.1317938024952667E+02 +0.6218209352392946E+00 +0.0000000000000000E+00
+0.1319525355677833E+02 +0.6679441746657341E+00 +0.0000000000000000E+00
+0.1321112686403000E+02 +0.7144462759562038E+00 +0.0000000000000000E+00
+0.1322700017128167E+02 +0.7598223621860144E+00 +0.0000000000000000E+00
+0.1324287347853333E+02 +0.8021988007834273E+00 +0.0000000000000000E+00
+0.1325874678578500E+02 +0.8394421310290536E+00 +0.0000000000000000E+00
